query name,query organism name,query strain name,query gene name,query gi,query gene length,e value,Identity [%],database species name,database gene name,database gi,database gene length 
Synechocystis sp. PCC 6803,Synechocystis,sp. PCC 6803,Photosystem II protein D1 1 ,499176722,360,0.0,100.0,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Synechocystis sp. PCC 6803,Synechocystis,sp. PCC 6803,photosystem II D1 protein ,16332289,360,0.0,100.0,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Synechocystis sp. PCC 6803 substr. Kazusa,Synechocystis,sp. PCC 6803 substr. Kazusa,SBA1_SYNY3 RecName: Full=Photosystem II protein D1 1; Short=PSII D1 protein 1; AltName: Full=Photosystem II Q(B) protein 1; Flags: Precursor ,2507283,360,0.0,100.0,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Synechocystis sp. PCC 6803,Synechocystis,sp. PCC 6803,photosystem II D1 protein ,1653919,360,0.0,100.0,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Synechocystis sp. PCC 6803,Synechocystis,sp. PCC 6803,photosystem II D1 protein ,339275384,360,0.0,100.0,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Synechocystis sp. PCC 6803 substr. GT-I,Synechocystis,sp. PCC 6803 substr. GT-I,photosystem II D1 protein ,359273350,360,0.0,100.0,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Synechocystis sp. PCC 6803 substr. PCC-N,Synechocystis,sp. PCC 6803 substr. PCC-N,photosystem II D1 protein ,359276520,360,0.0,100.0,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Synechocystis sp. PCC 6803 substr. PCC-P,Synechocystis,sp. PCC 6803 substr. PCC-P,photosystem II D1 protein ,359279690,360,0.0,100.0,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Synechocystis sp. PCC 6803,Synechocystis,sp. PCC 6803,photosystem II D1 protein ,451782409,360,0.0,100.0,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Synechocystis sp. PCC 6803,Synechocystis,sp. PCC 6803,unnamed protein product ,47429,360,0.0,99.1666666667,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Bacillus subtilis BEST7613,Bacillus,subtilis BEST7613,photosystem II D1 protein ,407960056,324,0.0,100.0,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Cyanobacterium aponinum,Cyanobacterium,aponinum,Photosystem Q(B) protein ,505033284,355,0.0,85.7541899441,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Cyanobacterium aponinum PCC 10605,Cyanobacterium,aponinum PCC 10605,Photosystem Q(B) protein ,428685196,355,0.0,85.7541899441,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Geminocystis herdmanii,Geminocystis,herdmanii,photosystem I reaction center subunit IX ,515863145,355,0.0,85.4748603352,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
Geminocystis sp. NIES-3709,Geminocystis,sp. NIES-3709,photosystem II protein D1 PsbA ,770472967,355,0.0,85.4748603352,Synechocystis sp. PCC 6803, photosystem II D1 protein ,16332289,360
